Districts, Headquarter
"achham","mangalsen"
"arghakhanchi","sandhikharka"
"baglung","baglung"
"baitadi","baitadi"
"bajhang","chainpur"
"bajura","martadi"
"banke","nepalgunj"
"bara","kalaiya"
"bardiya","gulariya"
"bhaktapur","bhaktapur"
"bhojpur","bhojpur"
"chitwan","bharatpur"
"dadeldhura","dadeldhura"
"dailekh","dullu"
"dang","ghorahi"
"darchula","darchula"
"dhading","dhading besi
"dhankuta","dhankuta"
"dhanusa","janakpur"
"dholkha","charikot"
"dolpa","dolpa"
"doti","dipayal"
"gorkha","gorkha"
"gulmi","tamghas"
"humla","simikot"
"ilam","ilam"
"jajarkot","khalanga"
"jhapa","chandragadhi"
"jumla","jumla khalanga"
"kailali","dhangadhi"
"kalikot","kalikot"
"kanchanpur","mahendara nagar"
"kapilvastu","taulihawa"
"kaski","pokhara"
"kathmandu","kathmandu"
"kavrepalanchok","dhulikhel"
"khotang","diktel"
"lalitpur","patan"
"lamjung","bensi sahar"
"mahottari","jaleswor"
"makwanpur","hetauda"
"manang","chame"
"morang","biratnagar"
"mugu","gamgadhi"
"mustang","jomsom"
"myagdi","beni"
"nawalparasi","parasi"
"nuwakot","bidur"
"okhaldhunga","okhaldhunga"
"palpa","tansen"
"panchthar","phidim"
"parbat","kusma"
"parsa","birgunj"
"pyuthan","pyuthan khalanga"
"ramechhap","manthali"
"rasuwa","dhunche"
"rautahat","gaur"
"rolpa","liwang"
"rukum","musikot"
"rupandehi","bhairahawa"
"salyan","salyan khalanga"
"sankhuwasabha","khandbari"
"saptari","rajbiraj"
"sarlahi","malangwa"
"sindhuli","sindhuli gadhi"
"sindhupalchok","chautara"
"siraha","siraha"
"solukhumbu","salleri"
"sunsari","inaruwa"
"surkhet","surkhet"
"syangja","syangja"
"tanahu","damauli"
"taplejung","taplejung"
"terhathum","manglung"
"udayapur","gaighat"
